Action ref;Action;Category;Team;Group;Children;Date;comptage;Colonne1;ref action;Eco tCO2e;Eco eau;Eco dechets;
D02;Tout manger ce qu'il y a dans nos assiettes (cantine, maison);Déchets;ROUGES;Rouges maternelles ;fruits;27/01/2025;1;2.453511;0;1.390385;0;1.390384615;
W04;Fermer ses volets quand il fait froid et nuit;Electricité;ROUGES;Rouges maternelles ;pomme;27/01/2025;1;0.006501;16.5;0;0;0;
D10;Couper l’eau quand on se savonne les mains;Eau;ROUGES;Rouges maternelles ;pomme;27/01/2025;1;0.54243;0;0.21;12.6;0;
D09;Eviter de prendre des bains (préférer la douche rapide);Eau;ROUGES;Rouges maternelles ;pomme;27/01/2025;1;0.0623;0;1.75;357;0;
T06;Ne pas tuer les petites bêtes et les remettre dehors (c'est la nourriture de oiseaux);Biodiversité;ROUGES;Rouges maternelles ;pomme;27/01/2025;1;1.518;0;0;0;0;
W04;Fermer ses volets quand il fait froid et nuit;Electricité;ROUGES;Rouges maternelles ;radis;04/02/2025;1;0.006501;16.5;0;0;0;
E04;Eteindre les appareils électriques lorsqu'on ne s'en sert pas (Télé, ordinateur...);Electricité;ROUGES;Rouges maternelles ;radis;04/02/2025;1;0.15988;0;1;0;0;
D10;Couper l’eau quand on se savonne les mains;Eau;ROUGES;Rouges maternelles ;radis;04/02/2025;1;0.54243;0;0.21;12.6;0;
E08;Fermer le robinet quand on se brosse les dents;Eau;ROUGES;Rouges maternelles ;radis;04/02/2025;1;0.000173;0;0;28;0;
D06;Acheter d’occasion plutôt que neuf;Courses;ROUGES;Rouges maternelles ;radis;04/02/2025;1;0.017374;0;0.183462;0;0.134615385;
E01;Acheter juste ce dont on a besoin;Courses;ROUGES;Rouges maternelles ;radis;04/02/2025;1;0.027408;0;0;0;0.134615385;
E08;Ramasser les papiers et les déchets par terre pour les mettre à la poubelle;Déchets;ROUGES;Rouges maternelles ;radis;04/02/2025;1;0.000173;0;0;0;0.1;
E03;Acheter des produits recyclables et utiliser les bacs de tri;Déchets;ROUGES;Rouges maternelles ;radis;04/02/2025;1;0.15988;0;0;0;0;
D06;Réduire son temps devant les écrans (Télé, ordinateurs, tablette, jeux vidéos...);Electricité;ROUGES;Rouges maternelles ;clémentine;05/02/2025;1;0.017374;0;0.183462;0;0;
C01;Eteindre les lumières quand on quitte une pièce ou si il fait jour dehors;Electricité;ROUGES;Rouges maternelles ;clémentine;05/02/2025;1;13.7935;0;0;0;0;
D05;Récupérer l'eau de pluie pour arroser;Eau;ROUGES;Rouges maternelles ;clémentine;05/02/2025;1;0.000239;0;0.134615;35;0;
D09;Eviter de prendre des bains (préférer la douche rapide);Eau;ROUGES;Rouges maternelles ;clémentine;05/02/2025;1;0.0623;0;1.75;357;0;
T06;Ne pas tuer les petites bêtes et les remettre dehors (c'est la nourriture de oiseaux);Biodiversité;ROUGES;Rouges maternelles ;clémentine;05/02/2025;1;1.518;0;0;0;0;
D06;Acheter d’occasion plutôt que neuf;Courses;ROUGES;Rouges maternelles ;clémentine;05/02/2025;1;0.017374;0;0.183462;0;0.134615385;
E01;Acheter juste ce dont on a besoin;Courses;ROUGES;Rouges maternelles ;clémentine;05/02/2025;1;0.027408;0;0;0;0.134615385;
E03;Acheter des produits recyclables et utiliser les bacs de tri;Déchets;ROUGES;Rouges maternelles ;clémentine;05/02/2025;1;0.15988;0;0;0;0;
D02;Tout manger ce qu'il y a dans nos assiettes (cantine, maison);Déchets;ROUGES;Rouges maternelles ;clémentine;05/02/2025;1;2.453511;0;1.390385;0;1.390384615;
D06;Réduire son temps devant les écrans (Télé, ordinateurs, tablette, jeux vidéos...);Electricité;ROUGES;Rouges maternelles ;lentilles;07/02/2025;1;0.017374;0;0.183462;0;0;
D09;Eviter de prendre des bains (préférer la douche rapide);Eau;ROUGES;Rouges maternelles ;lentilles;07/02/2025;1;0.0623;0;1.75;357;0;
T04;Acheter des produits avec moins d'emballages (éviter emballages individuels);Courses;ROUGES;Rouges maternelles ;lentilles;07/02/2025;1;0.506;0;0;0;34.86;
E08;Acheter des fruits ou légumes de saison;Courses;ROUGES;Rouges maternelles ;lentilles;07/02/2025;1;0.000173;0;0;0;0;
E08;Ramasser les papiers et les déchets par terre pour les mettre à la poubelle;Déchets;ROUGES;Rouges maternelles ;lentilles;07/02/2025;1;0.000173;0;0;0;0.1;
W04;Fermer ses volets quand il fait froid et nuit;Electricité;ROUGES;Rouges maternelles ;raisin;07/02/2025;1;0.006501;16.5;0;0;0;
D10;Couper l’eau quand on se savonne les mains;Eau;ROUGES;Rouges maternelles ;raisin;07/02/2025;1;0.54243;0;0.21;12.6;0;
D09;Eviter de prendre des bains (préférer la douche rapide);Eau;ROUGES;Rouges maternelles ;raisin;07/02/2025;1;0.0623;0;1.75;357;0;
D11;Ne pas prendre sa voiture si c'est possble : préférer la marche et le vélo (pour les petits trajets), le covoiturage…;Transport;ROUGES;Rouges maternelles ;poire;17/01/2025;1;0.38;0;0.67;0;0;
W04;Fermer ses volets quand il fait froid et nuit;Electricité;ROUGES;Rouges maternelles ;poire;17/01/2025;1;0.006501;16.5;0;0;0;
D06;Réduire son temps devant les écrans (Télé, ordinateurs, tablette, jeux vidéos...);Electricité;ROUGES;Rouges maternelles ;poire;17/01/2025;1;0.017374;0;0.183462;0;0;
E04;Eteindre les appareils électriques lorsqu'on ne s'en sert pas (Télé, ordinateur...);Electricité;ROUGES;Rouges maternelles ;poire;17/01/2025;1;0.15988;0;1;0;0;
D10;Couper l’eau quand on se savonne les mains;Eau;ROUGES;Rouges maternelles ;poire;17/01/2025;1;0.54243;0;0.21;12.6;0;
D09;Eviter de prendre des bains (préférer la douche rapide);Eau;ROUGES;Rouges maternelles ;poire;17/01/2025;1;0.0623;0;1.75;357;0;
E08;Fermer le robinet quand on se brosse les dents;Eau;ROUGES;Rouges maternelles ;poire;17/01/2025;1;0.000173;0;0;28;0;
T06;Ne pas tuer les petites bêtes et les remettre dehors (c'est la nourriture de oiseaux);Biodiversité;ROUGES;Rouges maternelles ;poire;17/01/2025;1;1.518;0;0;0;0;
T04;Acheter des produits avec moins d'emballages (éviter emballages individuels);Courses;ROUGES;Rouges maternelles ;poire;17/01/2025;1;0.506;0;0;0;34.86;
D06;Acheter d’occasion plutôt que neuf;Courses;ROUGES;Rouges maternelles ;poire;17/01/2025;1;0.017374;0;0.183462;0;0.134615385;
W03;Préférer les produits réutilisables plutôt que jetables;Courses;ROUGES;Rouges maternelles ;poire;17/01/2025;1;0.004964;12.6;0;0;0;
E08;Acheter des fruits ou légumes de saison;Courses;ROUGES;Rouges maternelles ;poire;17/01/2025;1;0.000173;0;0;0;0;
E08;Ramasser les papiers et les déchets par terre pour les mettre à la poubelle;Déchets;ROUGES;Rouges maternelles ;poire;17/01/2025;1;0.000173;0;0;0;0.1;
D02;Tout manger ce qu'il y a dans nos assiettes (cantine, maison);Déchets;ROUGES;Rouges maternelles ;poire;17/01/2025;1;2.453511;0;1.390385;0;1.390384615;
W04;Fermer ses volets quand il fait froid et nuit;Electricité;ROUGES;Rouges maternelles ;carotte;17/01/2025;1;0.006501;16.5;0;0;0;
D06;Réduire son temps devant les écrans (Télé, ordinateurs, tablette, jeux vidéos...);Electricité;ROUGES;Rouges maternelles ;carotte;17/01/2025;1;0.017374;0;0.183462;0;0;
E04;Eteindre les appareils électriques lorsqu'on ne s'en sert pas (Télé, ordinateur...);Electricité;ROUGES;Rouges maternelles ;carotte;17/01/2025;1;0.15988;0;1;0;0;
C01;Eteindre les lumières quand on quitte une pièce ou si il fait jour dehors;Electricité;ROUGES;Rouges maternelles ;carotte;17/01/2025;1;13.7935;0;0;0;0;
D10;Couper l’eau quand on se savonne les mains;Eau;ROUGES;Rouges maternelles ;carotte;17/01/2025;1;0.54243;0;0.21;12.6;0;
E08;Fermer le robinet quand on se brosse les dents;Eau;ROUGES;Rouges maternelles ;carotte;17/01/2025;1;0.000173;0;0;28;0;
T04;Acheter des produits avec moins d'emballages (éviter emballages individuels);Courses;ROUGES;Rouges maternelles ;carotte;17/01/2025;1;0.506;0;0;0;34.86;
D06;Acheter d’occasion plutôt que neuf;Courses;ROUGES;Rouges maternelles ;carotte;17/01/2025;1;0.017374;0;0.183462;0;0.134615385;
W03;Préférer les produits réutilisables plutôt que jetables;Courses;ROUGES;Rouges maternelles ;carotte;17/01/2025;1;0.004964;12.6;0;0;0;
E01;Acheter juste ce dont on a besoin;Courses;ROUGES;Rouges maternelles ;carotte;17/01/2025;1;0.027408;0;0;0;0.134615385;
E08;Acheter des fruits ou légumes de saison;Courses;ROUGES;Rouges maternelles ;carotte;17/01/2025;1;0.000173;0;0;0;0;
E03;Acheter des produits recyclables et utiliser les bacs de tri;Déchets;ROUGES;Rouges maternelles ;carotte;17/01/2025;1;0.15988;0;0;0;0;
E08;Ramasser les papiers et les déchets par terre pour les mettre à la poubelle;Déchets;ROUGES;Rouges maternelles ;carotte;17/01/2025;1;0.000173;0;0;0;0.1;
D02;Tout manger ce qu'il y a dans nos assiettes (cantine, maison);Déchets;ROUGES;Rouges maternelles ;carotte;17/01/2025;1;2.453511;0;1.390385;0;1.390384615;
D11;Ne pas prendre sa voiture si c'est possble : préférer la marche et le vélo (pour les petits trajets), le covoiturage…;Transport;ROUGES;Rouges maternelles ;petits pois;17/01/2025;1;0.38;0;0.67;0;0;
W04;Fermer ses volets quand il fait froid et nuit;Electricité;ROUGES;Rouges maternelles ;petits pois;17/01/2025;1;0.006501;16.5;0;0;0;
D06;Réduire son temps devant les écrans (Télé, ordinateurs, tablette, jeux vidéos...);Electricité;ROUGES;Rouges maternelles ;petits pois;17/01/2025;1;0.017374;0;0.183462;0;0;
E04;Eteindre les appareils électriques lorsqu'on ne s'en sert pas (Télé, ordinateur...);Electricité;ROUGES;Rouges maternelles ;petits pois;17/01/2025;1;0.15988;0;1;0;0;
C01;Eteindre les lumières quand on quitte une pièce ou si il fait jour dehors;Electricité;ROUGES;Rouges maternelles ;petits pois;17/01/2025;1;13.7935;0;0;0;0;
D05;Récupérer l'eau de pluie pour arroser;Eau;ROUGES;Rouges maternelles ;petits pois;17/01/2025;1;0.000239;0;0.134615;35;0;
D10;Couper l’eau quand on se savonne les mains;Eau;ROUGES;Rouges maternelles ;petits pois;17/01/2025;1;0.54243;0;0.21;12.6;0;
W02;Ne pas gaspiller l'eau de son verre;Eau;ROUGES;Rouges maternelles ;petits pois;17/01/2025;1;0.05;28;0;35;0;
E08;Fermer le robinet quand on se brosse les dents;Eau;ROUGES;Rouges maternelles ;petits pois;17/01/2025;1;0.000173;0;0;28;0;
T06;Ne pas tuer les petites bêtes et les remettre dehors (c'est la nourriture de oiseaux);Biodiversité;ROUGES;Rouges maternelles ;petits pois;17/01/2025;1;1.518;0;0;0;0;
T04;Acheter des produits avec moins d'emballages (éviter emballages individuels);Courses;ROUGES;Rouges maternelles ;petits pois;17/01/2025;1;0.506;0;0;0;34.86;
D06;Acheter d’occasion plutôt que neuf;Courses;ROUGES;Rouges maternelles ;petits pois;17/01/2025;1;0.017374;0;0.183462;0;0.134615385;
E01;Acheter juste ce dont on a besoin;Courses;ROUGES;Rouges maternelles ;petits pois;17/01/2025;1;0.027408;0;0;0;0.134615385;
W03;Préférer les produits réutilisables plutôt que jetables;Courses;ROUGES;Rouges maternelles ;petits pois;17/01/2025;1;0.004964;12.6;0;0;0;
E08;Acheter des fruits ou légumes de saison;Courses;ROUGES;Rouges maternelles ;petits pois;17/01/2025;1;0.000173;0;0;0;0;
E03;Acheter des produits recyclables et utiliser les bacs de tri;Déchets;ROUGES;Rouges maternelles ;petits pois;17/01/2025;1;0.15988;0;0;0;0;
E08;Ramasser les papiers et les déchets par terre pour les mettre à la poubelle;Déchets;ROUGES;Rouges maternelles ;petits pois;17/01/2025;1;0.000173;0;0;0;0.1;
D02;Tout manger ce qu'il y a dans nos assiettes (cantine, maison);Déchets;ROUGES;Rouges maternelles ;petits pois;17/01/2025;1;2.453511;0;1.390385;0;1.390384615;
D11;Ne pas prendre sa voiture si c'est possble : préférer la marche et le vélo (pour les petits trajets), le covoiturage…;Transport;ROUGES;Rouges maternelles ;châtaigne;19/01/2025;1;0.38;0;0.67;0;0;
E04;Eteindre les appareils électriques lorsqu'on ne s'en sert pas (Télé, ordinateur...);Electricité;ROUGES;Rouges maternelles ;châtaigne;19/01/2025;1;0.15988;0;1;0;0;
D10;Couper l’eau quand on se savonne les mains;Eau;ROUGES;Rouges maternelles ;châtaigne;19/01/2025;1;0.54243;0;0.21;12.6;0;
D09;Eviter de prendre des bains (préférer la douche rapide);Eau;ROUGES;Rouges maternelles ;châtaigne;19/01/2025;1;0.0623;0;1.75;357;0;
T06;Ne pas tuer les petites bêtes et les remettre dehors (c'est la nourriture de oiseaux);Biodiversité;ROUGES;Rouges maternelles ;châtaigne;19/01/2025;1;1.518;0;0;0;0;
D06;Acheter d’occasion plutôt que neuf;Courses;ROUGES;Rouges maternelles ;châtaigne;19/01/2025;1;0.017374;0;0.183462;0;0.134615385;
E01;Acheter juste ce dont on a besoin;Courses;ROUGES;Rouges maternelles ;châtaigne;19/01/2025;1;0.027408;0;0;0;0.134615385;
D11;Ne pas prendre sa voiture si c'est possble : préférer la marche et le vélo (pour les petits trajets), le covoiturage…;Transport;ROUGES;Rouges maternelles ;marron;26/01/2025;1;0.38;0;0.67;0;0;
D02;Tout manger ce qu'il y a dans nos assiettes (cantine, maison);Déchets;ROUGES;Rouges maternelles ;raisin;07/02/2025;1;2.453511;0;1.390385;0;1.390384615;
E04;Eteindre les appareils électriques lorsqu'on ne s'en sert pas (Télé, ordinateur...);Electricité;ROUGES;Rouges maternelles ;kaki;07/02/2025;1;0.15988;0;1;0;0;
D05;Récupérer l'eau de pluie pour arroser;Eau;ROUGES;Rouges maternelles ;marron;26/01/2025;1;0.000239;0;0.134615;35;0;
W02;Ne pas gaspiller l'eau de son verre;Eau;ROUGES;Rouges maternelles ;marron;26/01/2025;1;0.05;28;0;35;0;
D09;Eviter de prendre des bains (préférer la douche rapide);Eau;ROUGES;Rouges maternelles ;marron;26/01/2025;1;0.0623;0;1.75;357;0;
T06;Ne pas tuer les petites bêtes et les remettre dehors (c'est la nourriture de oiseaux);Biodiversité;ROUGES;Rouges maternelles ;marron;26/01/2025;1;1.518;0;0;0;0;
T04;Acheter des produits avec moins d'emballages (éviter emballages individuels);Courses;ROUGES;Rouges maternelles ;marron;26/01/2025;1;0.506;0;0;0;34.86;
D06;Acheter d’occasion plutôt que neuf;Courses;ROUGES;Rouges maternelles ;marron;26/01/2025;1;0.017374;0;0.183462;0;0.134615385;
W03;Préférer les produits réutilisables plutôt que jetables;Courses;ROUGES;Rouges maternelles ;marron;26/01/2025;1;0.004964;12.6;0;0;0;
W04;Fermer ses volets quand il fait froid et nuit;Electricité;ROUGES;Rouges maternelles ;châtaigne;27/01/2025;1;0.006501;16.5;0;0;0;
E04;Eteindre les appareils électriques lorsqu'on ne s'en sert pas (Télé, ordinateur...);Electricité;ROUGES;Rouges maternelles ;châtaigne;27/01/2025;1;0.15988;0;1;0;0;
D05;Récupérer l'eau de pluie pour arroser;Eau;ROUGES;Rouges maternelles ;châtaigne;27/01/2025;1;0.000239;0;0.134615;35;0;
W02;Ne pas gaspiller l'eau de son verre;Eau;ROUGES;Rouges maternelles ;châtaigne;27/01/2025;1;0.05;28;0;35;0;
E08;Fermer le robinet quand on se brosse les dents;Eau;ROUGES;Rouges maternelles ;châtaigne;27/01/2025;1;0.000173;0;0;28;0;
T04;Acheter des produits avec moins d'emballages (éviter emballages individuels);Courses;ROUGES;Rouges maternelles ;châtaigne;27/01/2025;1;0.506;0;0;0;34.86;
W03;Préférer les produits réutilisables plutôt que jetables;Courses;ROUGES;Rouges maternelles ;châtaigne;27/01/2025;1;0.004964;12.6;0;0;0;
E08;Acheter des fruits ou légumes de saison;Courses;ROUGES;Rouges maternelles ;châtaigne;27/01/2025;1;0.000173;0;0;0;0;
E08;Ramasser les papiers et les déchets par terre pour les mettre à la poubelle;Déchets;ROUGES;Rouges maternelles ;châtaigne;27/01/2025;1;0.000173;0;0;0;0.1;
W04;Fermer ses volets quand il fait froid et nuit;Electricité;ROUGES;Rouges maternelles ;fruits;27/01/2025;1;0.006501;16.5;0;0;0;
E04;Eteindre les appareils électriques lorsqu'on ne s'en sert pas (Télé, ordinateur...);Electricité;ROUGES;Rouges maternelles ;fruits;27/01/2025;1;0.15988;0;1;0;0;
D10;Couper l’eau quand on se savonne les mains;Eau;ROUGES;Rouges maternelles ;fruits;27/01/2025;1;0.54243;0;0.21;12.6;0;
D09;Eviter de prendre des bains (préférer la douche rapide);Eau;ROUGES;Rouges maternelles ;fruits;27/01/2025;1;0.0623;0;1.75;357;0;
T04;Acheter des produits avec moins d'emballages (éviter emballages individuels);Courses;ROUGES;Rouges maternelles ;fruits;27/01/2025;1;0.506;0;0;0;34.86;
W03;Préférer les produits réutilisables plutôt que jetables;Courses;ROUGES;Rouges maternelles ;fruits;27/01/2025;1;0.004964;12.6;0;0;0;
E08;Acheter des fruits ou légumes de saison;Courses;ROUGES;Rouges maternelles ;fruits;27/01/2025;1;0.000173;0;0;0;0;
E08;Ramasser les papiers et les déchets par terre pour les mettre à la poubelle;Déchets;ROUGES;Rouges maternelles ;fruits;27/01/2025;1;0.000173;0;0;0;0.1;
E08;Acheter des fruits ou légumes de saison;Courses;ROUGES;Rouges maternelles ;kaki;07/02/2025;1;0.000173;0;0;0;0;
T04;Acheter des produits avec moins d'emballages (éviter emballages individuels);Courses;ROUGES;Rouges maternelles ;kaki;07/02/2025;1;0.506;0;0;0;34.86;
D11;Ne pas prendre sa voiture si c'est possble : préférer la marche et le vélo (pour les petits trajets), le covoiturage…;Transport;ROUGES;Rouges maternelles ;pomme;27/01/2025;1;0.38;0;0.67;0;0;
W04;Fermer ses volets quand il fait froid et nuit;Electricité;ROUGES;Rouges maternelles ;poire;07/02/2025;1;0.006501;16.5;0;0;0;
C01;Eteindre les lumières quand on quitte une pièce ou si il fait jour dehors;Electricité;ROUGES;Rouges maternelles ;pomme;27/01/2025;1;13.7935;0;0;0;0;
W02;Ne pas gaspiller l'eau de son verre;Eau;ROUGES;Rouges maternelles ;pomme;27/01/2025;1;0.05;28;0;35;0;
D10;Couper l’eau quand on se savonne les mains;Eau;ROUGES;Rouges maternelles ;poire;07/02/2025;1;0.54243;0;0.21;12.6;0;
E08;Fermer le robinet quand on se brosse les dents;Eau;ROUGES;Rouges maternelles ;poire;07/02/2025;1;0.000173;0;0;28;0;
E08;Fermer le robinet quand on se brosse les dents;Eau;ROUGES;Rouges maternelles ;pomme;27/01/2025;1;0.000173;0;0;28;0;
E08;Acheter des fruits ou légumes de saison;Courses;ROUGES;Rouges maternelles ;poire;07/02/2025;1;0.000173;0;0;0;0;
D02;Tout manger ce qu'il y a dans nos assiettes (cantine, maison);Déchets;ROUGES;Rouges maternelles ;poire;07/02/2025;1;2.453511;0;1.390385;0;1.390384615;
C01;Eteindre les lumières quand on quitte une pièce ou si il fait jour dehors;Electricité;ROUGES;Rouges maternelles ;radis;02/03/2025;1;13.7935;0;0;0;0;
W02;Ne pas gaspiller l'eau de son verre;Eau;ROUGES;Rouges maternelles ;radis;02/03/2025;1;0.05;28;0;35;0;
E08;Fermer le robinet quand on se brosse les dents;Eau;ROUGES;Rouges maternelles ;radis;02/03/2025;1;0.000173;0;0;28;0;
T04;Acheter des produits avec moins d'emballages (éviter emballages individuels);Courses;ROUGES;Rouges maternelles ;radis;02/03/2025;1;0.506;0;0;0;34.86;
W03;Préférer les produits réutilisables plutôt que jetables;Courses;ROUGES;Rouges maternelles ;radis;02/03/2025;1;0.004964;12.6;0;0;0;
E08;Acheter des fruits ou légumes de saison;Courses;ROUGES;Rouges maternelles ;radis;02/03/2025;1;0.000173;0;0;0;0;
E08;Ramasser les papiers et les déchets par terre pour les mettre à la poubelle;Déchets;ROUGES;Rouges maternelles ;radis;02/03/2025;1;0.000173;0;0;0;0.1;
W04;Fermer ses volets quand il fait froid et nuit;Electricité;ROUGES;Rouges maternelles ;châtaigne;19/01/2025;1;0.006501;16.5;0;0;0;
C01;Eteindre les lumières quand on quitte une pièce ou si il fait jour dehors;Electricité;ROUGES;Rouges maternelles ;châtaigne;19/01/2025;1;13.7935;0;0;0;0;
W02;Ne pas gaspiller l'eau de son verre;Eau;ROUGES;Rouges maternelles ;châtaigne;19/01/2025;1;0.05;28;0;35;0;
E08;Fermer le robinet quand on se brosse les dents;Eau;ROUGES;Rouges maternelles ;châtaigne;19/01/2025;1;0.000173;0;0;28;0;
T04;Acheter des produits avec moins d'emballages (éviter emballages individuels);Courses;ROUGES;Rouges maternelles ;châtaigne;19/01/2025;1;0.506;0;0;0;34.86;
